City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
375,Pudozh,RU,61.81,36.53,36.75,82,100,5.66,light rain
376,Tafresh,IR,34.69,50.01,45.43,57,0,1.95,clear sky
377,Bowen,AU,-20.02,148.23,75.2,88,90,1.12,light rain
378,Sabang,ID,5.89,95.32,77.34,87,100,18.21,light rain
379,Ginatilan,PH,9.57,123.31,78.8,83,75,8.9,broken clouds
380,Tucurui,BR,-3.77,-49.67,87.37,47,88,0.38,overcast clouds
381,Mehamn,NO,71.04,27.85,37.33,83,100,16.58,overcast clouds
382,Mazyr,BY,52.05,29.25,49.98,93,76,8.12,broken clouds
383,Dronten,NL,52.5,5.72,60.01,85,100,4.0,overcast clouds
384,Wakkanai,JP,45.41,141.67,47.75,72,86,24.14,light rain
385,Konstantinovka,RU,49.62,127.98,32.23,90,0,15.12,clear sky
386,Saint-Leu,RE,-21.15,55.28,71.6,60,0,8.05,clear sky
387,Chicama,PE,-7.84,-79.15,66.2,77,0,12.75,clear sky
388,Cayenne,GF,4.93,-52.33,84.2,74,75,6.93,broken clouds
389,Ust-Omchug,RU,61.15,149.63,31.59,97,100,3.65,overcast clouds
390,Passo De Camaragibe,BR,-9.24,-35.49,75.2,88,0,6.93,clear sky
391,Komsomolskiy,UZ,40.43,71.72,46.4,52,100,6.93,overcast clouds
392,Goedereede,NL,51.82,3.98,60.01,84,100,4.0,overcast clouds
393,Bantou,CN,26.22,117.49,53.53,73,57,2.73,broken clouds
394,Winnemucca,US,40.97,-117.74,66.2,20,1,11.41,clear sky
395,Kalmunai,LK,7.42,81.82,79.34,78,99,6.02,overcast clouds
396,Loiza,PR,18.43,-65.88,87.8,62,40,13.87,haze
397,The Valley,AI,18.22,-63.06,84.2,74,40,12.75,scattered clouds
398,Adrar,MR,20.5,-10.07,91.15,11,100,6.04,overcast clouds
399,Fjerritslev,DK,57.08,9.27,54.0,87,100,8.01,overcast clouds
400,Altay,CN,47.87,88.12,23.97,85,1,3.51,clear sky
401,Normandin,CA,48.83,-72.53,35.6,64,75,13.87,broken clouds
402,Nova Soure,BR,-11.23,-38.48,79.25,61,65,15.9,broken clouds
403,Nalut,LY,30.33,10.85,71.55,26,17,12.55,few clouds
404,Torres,BR,-29.34,-49.73,71.15,84,77,10.54,broken clouds
405,Nang Rong,TH,14.64,102.79,66.74,78,99,4.74,overcast clouds
406,Bambanglipuro,ID,-7.95,110.28,77.38,88,100,8.32,light rain
